6	16	16	16	2	4	2
1	16	16	2	1	2	2
1	16	16	2	2	1	2
7	16	16	2	2	2	2
18	16	16	2	2	4	2
1	16	16	2	2	4	4
8	16	16	2	4	4	2
1	16	16	4	2	4	16
1	16	16	4	4	2	2
1	16	16	4	4	4	16
8	16	16	4	4	4	2
1	16	1	1	2	2	2
1	16	1	2	1	2	2
2	16	1	2	2	2	2
5	16	1	2	2	4	2
1	16	1	2	3	2	2
1	16	1	4	4	1	2
1	16	1	4	4	4	2
1	16	1	4	4	4	4
2	16	2	16	2	16	2
8	16	2	16	2	2	2
1	16	2	16	2	2	4
2	16	2	16	2	4	2
1	16	2	16	4	2	2
2	16	2	16	4	4	2
1	16	2	1	2	2	16
3	16	2	1	2	2	2
1	16	2	2	1	2	2
1	16	2	2	1	4	2
3	16	2	2	2	16	2
1	16	2	2	2	1	2
2	16	2	2	2	2	16
85	16	2	2	2	2	2
2	16	2	2	2	2	4
98	16	2	2	2	4	2
1	16	2	2	2	4	4
1	16	2	2	3	1	2
1	16	2	2	3	2	2
1	16	2	2	3	3	2
1	16	2	2	4	1	4
3	16	2	2	4	2	2
27	16	2	2	4	4	2
1	16	2	2	4	4	4
1	16	2	3	2	16	2
3	16	2	3	2	2	2
1	16	2	3	2	2	4
1	16	2	3	2	4	16
1	16	2	4	2	16	2
2	16	2	4	2	2	2
5	16	2	4	2	4	2
1	16	2	4	3	2	2
2	16	2	4	4	2	2
1	16	2	4	4	4	16
54	16	2	4	4	4	2
1	16	2	4	4	4	4
1	16	3	1	1	2	4
1	16	3	4	4	4	2
1	16	4	16	16	4	2
3	16	4	16	2	4	2
1	16	4	16	3	4	2
1	16	4	16	4	2	2
6	16	4	16	4	4	2
2	16	4	1	2	4	2
1	16	4	2	1	2	2
1	16	4	2	2	16	2
4	16	4	2	2	2	2
21	16	4	2	2	4	2
2	16	4	2	4	2	2
22	16	4	2	4	4	2
2	16	4	4	1	2	4
1	16	4	4	1	4	2
1	16	4	4	2	4	2
4	16	4	4	4	2	2
1	16	4	4	4	4	16
55	16	4	4	4	4	2
