1	16	16	16	2
20	16	16	2	2
1	16	16	3	2
1	16	16	4	4
1	16	1	2	2
7	16	2	1	2
2	16	2	2	16
253	16	2	2	2
3	16	2	2	4
1	16	2	4	2
1	16	2	4	4
12	16	4	2	2
2	16	4	2	4
1	16	4	4	4
1	1	1	1	1
1	1	1	2	2
1	1	1	2	4
1	1	2	1	2
41	1	2	2	2
1	1	2	2	3
2	1	2	2	4
2	1	2	4	2
1	1	3	2	2
1	1	3	4	2
2	1	4	1	4
11	1	4	2	2
1	1	4	3	2
1	1	4	4	2
6	1	4	4	4
5	2	16	16	2
3	2	16	1	2
1	2	16	1	3
8	2	16	2	16
670	2	16	2	2
1	2	16	2	3
8	2	16	2	4
24	2	16	3	2
1	2	16	4	16
9	2	16	4	2
3	2	16	4	4
1	2	1	1	16
5	2	1	1	2
1	2	1	1	4
26	2	1	2	2
8	2	1	2	4
1	2	1	3	2
2	2	1	4	1
3	2	1	4	4
3	2	2	1	16
120	2	2	1	2
6	2	2	1	4
90	2	2	2	16
19	2	2	2	1
25605	2	2	2	2
7	2	2	2	3
421	2	2	2	4
4	2	2	3	16
1	2	2	3	1
159	2	2	3	2
5	2	2	3	4
99	2	2	4	2
26	2	2	4	4
6	2	3	2	2
2	2	3	3	2
1	2	3	3	4
2	2	3	4	2
8	2	4	1	2
1	2	4	1	4
3	2	4	2	16
362	2	4	2	2
8	2	4	2	4
69	2	4	3	2
5	2	4	3	4
1	2	4	4	16
76	2	4	4	2
62	2	4	4	4
1	3	16	16	1
2	3	1	4	4
1	3	2	1	1
1	3	2	2	16
31	3	2	2	2
1	3	2	2	4
1	3	2	3	2
1	3	2	4	2
2	3	3	4	2
1	3	4	4	2
4	3	4	4	4
1	4	16	2	16
13	4	16	2	2
7	4	16	4	2
22	4	16	4	4
1	4	1	2	4
1	4	2	1	16
2	4	2	1	2
3	4	2	2	16
587	4	2	2	2
38	4	2	2	4
4	4	2	3	2
1	4	2	4	16
10	4	2	4	2
3	4	2	4	4
2	4	3	2	2
1	4	4	1	16
3	4	4	1	2
4	4	4	1	4
26	4	4	2	2
4	4	4	2	4
2	4	4	3	2
4	4	4	3	4
9	4	4	4	16
2	4	4	4	1
122	4	4	4	2
1	4	4	4	3
1004	4	4	4	4
