1	16	16	16
10	16	16	2
1	16	16	4
2	16	1	2
2	16	1	4
1	16	2	1
441	16	2	2
8	16	2	4
11	16	4	2
9	16	4	4
29	1	2	2
2	1	4	4
45	2	16	16
282	2	16	2
10	2	16	4
7	2	1	1
26	2	1	2
4	2	1	4
113	2	2	16
36	2	2	1
25917	2	2	2
19	2	2	3
342	2	2	4
2	2	3	1
48	2	3	2
1	2	3	4
13	2	4	16
1	2	4	1
309	2	4	2
2	2	4	3
330	2	4	4
2	3	16	2
94	3	2	2
4	3	2	4
1	3	4	16
7	3	4	2
14	3	4	4
19	4	16	16
14	4	16	2
9	4	16	4
1	4	1	16
1	4	1	1
3	4	1	2
7	4	2	16
2	4	2	1
765	4	2	2
23	4	2	4
1	4	3	2
3	4	3	4
15	4	4	16
3	4	4	1
230	4	4	2
651	4	4	4
