1	16	16	2
1	16	16	4
1	16	1	2
1	16	1	4
1	16	2	1
118	16	2	2
2	16	2	4
54	16	4	2
8	16	4	4
1	1	1	2
1	1	2	16
68	1	2	2
3	1	2	4
1	1	3	4
31	1	4	2
3	1	4	4
7	2	16	16
230	2	16	2
19	2	16	4
1	2	1	16
44	2	1	2
2	2	1	3
13	2	1	4
147	2	2	16
45	2	2	1
24985	2	2	2
19	2	2	3
769	2	2	4
22	2	3	2
2	2	3	3
1	2	3	4
10	2	4	16
4	2	4	1
1003	2	4	2
1	2	4	3
172	2	4	4
40	3	2	2
1	3	2	3
4	3	2	4
1	3	3	2
25	3	4	2
1	3	4	4
1	4	16	1
76	4	16	2
5	4	16	4
18	4	1	2
10	4	1	4
6	4	2	16
3	4	2	1
790	4	2	2
53	4	2	4
10	4	3	2
1	4	3	4
33	4	4	16
7	4	4	1
4905	4	4	2
6	4	4	3
432	4	4	4
