5	16	16	2	2	2	2
1	16	16	2	2	4	2
1	16	2	16	16	2	2
1	16	2	16	16	4	2
1	16	2	16	1	3	4
12	16	2	16	2	2	2
1	16	2	16	4	2	2
1	16	2	1	2	16	3
3	16	2	1	2	2	2
1	16	2	2	16	2	2
1	16	2	2	16	2	4
2	16	2	2	16	4	2
1	16	2	2	1	2	2
6	16	2	2	2	16	2
1	16	2	2	2	1	2
5	16	2	2	2	2	16
2	16	2	2	2	2	1
335	16	2	2	2	2	2
1	16	2	2	2	2	3
8	16	2	2	2	2	4
1	16	2	2	2	3	2
1	16	2	2	2	4	16
7	16	2	2	2	4	2
1	16	2	2	2	4	4
1	16	2	2	3	16	2
1	16	2	2	4	2	16
1	16	2	2	4	2	2
1	16	2	2	4	2	4
2	16	2	4	2	2	2
1	16	2	4	4	4	4
2	16	3	2	2	2	2
1	16	4	2	2	2	16
2	16	4	2	2	2	1
9	16	4	2	2	2	2
2	16	4	4	16	2	2
15	16	4	4	2	2	2
2	16	4	4	2	4	2
1	16	4	4	4	16	2
1	16	4	4	4	1	2
21	16	4	4	4	2	2
2	16	4	4	4	2	4
23	16	4	4	4	4	2
10	16	4	4	4	4	4
3	1	1	2	2	2	2
3	1	2	16	2	2	2
2	1	2	2	2	2	16
33	1	2	2	2	2	2
1	1	2	2	2	2	4
1	1	2	2	2	4	2
2	1	2	2	4	4	2
1	1	4	1	2	2	2
2	1	4	2	2	2	2
1	1	4	2	2	2	4
1	1	4	2	2	4	2
1	1	4	4	4	2	2
2	2	1	16	2	2	2
1	2	1	16	4	2	2
1	2	1	1	16	2	2
3	2	1	1	2	2	2
1	2	1	2	1	2	2
1	2	1	2	2	1	2
62	2	1	2	2	2	2
1	2	1	2	2	2	3
1	2	1	2	2	3	2
1	2	1	2	4	2	2
1	2	1	4	2	2	2
2	2	2	16	16	2	2
1	2	2	16	16	2	4
5	2	2	16	16	4	2
1	2	2	16	1	1	2
1	2	2	16	1	2	2
1	2	2	16	2	16	2
2	2	2	16	2	1	2
2	2	2	16	2	2	16
1	2	2	16	2	2	1
100	2	2	16	2	2	2
2	2	2	16	2	2	4
1	2	2	16	2	3	2
4	2	2	16	2	4	2
