2	1	16	1	2	2	2	2
1	1	16	2	2	16	2	2
1	1	16	2	2	2	2	2
1	1	1	1	1	1	1	1
1	1	1	1	1	2	2	2
1	1	1	2	2	2	2	2
1	1	1	4	2	2	2	16
3	1	1	4	2	2	2	2
1	1	2	2	16	2	2	2
1	1	2	2	2	2	2	16
27	1	2	2	2	2	2	2
2	1	2	3	2	2	2	2
1	1	2	4	16	2	2	2
5	1	2	4	2	2	2	2
1	1	2	4	4	4	4	4
1	1	3	1	2	2	2	2
1	1	3	4	2	2	2	2
1	1	4	1	4	4	4	4
4	1	4	2	2	2	2	2
1	1	4	4	16	2	2	2
1	1	4	4	4	4	4	3
1	1	4	4	4	4	4	4
2	2	16	1	2	2	2	2
18	2	16	2	16	2	2	2
1	2	16	2	1	2	2	16
19	2	16	2	1	2	2	2
1	2	16	2	1	4	4	4
1	2	16	2	2	16	2	2
1	2	16	2	2	16	4	4
1	2	16	2	2	1	2	1
1	2	16	2	2	1	2	2
10	2	16	2	2	2	16	2
17	2	16	2	2	2	2	16
3	2	16	2	2	2	2	1
1553	2	16	2	2	2	2	2
6	2	16	2	2	2	2	4
1	2	16	2	2	2	3	2
1	2	16	2	2	2	4	16
1	2	16	2	2	2	4	1
8	2	16	2	2	2	4	2
5	2	16	2	2	2	4	4
2	2	16	2	2	3	2	2
1	2	16	2	2	4	16	2
15	2	16	2	2	4	2	2
8	2	16	2	2	4	4	4
5	2	16	2	3	2	2	2
4	2	16	2	4	2	2	2
1	2	16	2	4	4	2	2
5	2	16	2	4	4	4	4
1	2	16	3	2	2	2	2
1	2	16	4	2	2	2	16
7	2	16	4	2	2	2	2
1	2	16	4	4	4	2	2
1	2	1	1	2	2	2	2
1	2	1	2	1	2	2	16
1	2	1	2	1	2	2	2
1	2	1	2	2	1	4	16
2	2	1	2	2	2	2	1
25	2	1	2	2	2	2	2
2	2	1	2	2	2	2	4
1	2	1	2	3	2	2	2
1	2	1	2	4	2	2	4
2	2	1	4	1	2	2	2
1	2	1	4	2	2	16	2
14	2	1	4	2	2	2	2
3	2	1	4	4	2	2	2
1	2	2	1	16	1	2	2
1	2	2	1	16	2	2	2
1	2	2	1	1	1	4	4
1	2	2	1	1	2	2	2
2	2	2	1	2	2	16	2
2	2	2	1	2	2	2	16
96	2	2	1	2	2	2	2
1	2	2	1	2	2	2	4
1	2	2	1	2	2	4	16
5	2	2	1	4	2	2	2
2	2	2	2	16	16	2	2
1	2	2	2	16	1	4	4
1	2	2	2	16	2	16	2
60	2	2	2	16	2	2	2
1	2	2	2	16	2	2	4
1	2	2	2	16	2	4	4
2	2	2	2	16	3	2	2
1	2	2	2	1	1	2	2
1	2	2	2	1	2	16	2
