2	16	16	16	16	2
6	16	16	16	16	4
1	16	16	16	2	2
6	16	16	16	4	2
13	16	16	16	4	4
10	16	16	2	2	2
2	16	16	4	2	16
42	16	16	4	2	2
1	16	16	4	2	4
9	16	16	4	4	2
8	16	16	4	4	4
1	16	1	4	4	2
2	16	1	4	4	4
1	16	2	16	2	2
1	16	2	16	4	4
1	16	2	2	2	1
102	16	2	2	2	2
1	16	2	2	4	2
5	16	2	4	2	2
13	16	4	2	2	2
1	16	4	2	2	4
2	16	4	2	4	2
1	16	4	3	4	3
2	16	4	4	2	16
1	16	4	4	2	1
109	16	4	4	2	2
1	16	4	4	2	3
3	16	4	4	2	4
1	16	4	4	4	1
16	16	4	4	4	2
1	16	4	4	4	3
20	16	4	4	4	4
1	1	16	16	16	4
1	1	16	16	4	4
2	1	16	2	2	2
3	1	16	4	2	2
1	1	16	4	4	2
1	1	16	4	4	4
2	1	2	16	2	2
1	1	2	2	1	2
1	1	2	2	2	16
1	1	2	2	2	1
50	1	2	2	2	2
1	1	2	2	4	4
1	1	2	4	2	2
1	1	3	2	2	2
1	1	4	2	16	2
2	1	4	2	2	2
1	1	4	3	1	4
15	1	4	4	2	2
1	1	4	4	4	2
2	1	4	4	4	4
3	2	16	16	16	16
21	2	16	16	16	2
13	2	16	16	16	4
1	2	16	16	1	1
1	2	16	16	1	2
5	2	16	16	2	16
286	2	16	16	2	2
2	2	16	16	2	4
1	2	16	16	3	2
17	2	16	16	4	2
38	2	16	16	4	4
1	2	16	1	2	2
3	2	16	2	16	16
35	2	16	2	16	2
1	2	16	2	1	2
38	2	16	2	2	16
3146	2	16	2	2	2
1	2	16	2	2	3
2	2	16	2	2	4
1	2	16	4	2	16
55	2	16	4	2	2
24	2	16	4	4	2
1	2	16	4	4	3
20	2	16	4	4	4
2	2	1	16	16	2
2	2	1	16	2	2
3	2	1	16	4	2
1	2	1	1	16	2
1	2	1	1	1	2
24	2	1	1	2	2
11	2	1	1	4	2
1	2	1	1	4	4
2	2	1	2	16	2
1	2	1	2	2	16
138	2	1	2	2	2
2	2	1	2	3	2
6	2	1	2	4	2
2	2	1	2	4	4
2	2	1	3	2	2
1	2	1	3	2	4
2	2	1	3	4	2
1	2	1	4	1	1
1	2	1	4	1	2
8	2	1	4	2	2
1	2	1	4	2	4
14	2	1	4	4	2
5	2	1	4	4	4
1	2	2	16	16	1
17	2	2	16	16	2
10	2	2	16	16	4
2	2	2	16	1	2
12	2	2	16	2	16
277	2	2	16	2	2
2	2	2	16	2	4
12	2	2	16	4	2
7	2	2	16	4	4
1	2	2	1	16	2
6	2	2	1	1	2
1	2	2	1	1	4
3	2	2	1	2	16
16	2	2	1	2	2
3	2	2	1	2	4
5	2	2	1	4	2
1	2	2	1	4	4
26	2	2	2	16	16
11	2	2	2	16	1
94	2	2	2	16	2
3	2	2	2	16	3
6	2	2	2	16	4
53	2	2	2	1	2
29	2	2	2	1	4
144	2	2	2	2	16
45	2	2	2	2	1
13587	2	2	2	2	2
30	2	2	2	2	3
158	2	2	2	2	4
3	2	2	2	3	2
1	2	2	2	3	3
1	2	2	2	3	4
10	2	2	2	4	1
107	2	2	2	4	2
2	2	2	2	4	3
24	2	2	2	4	4
2	2	2	3	1	2
3	2	2	3	2	2
1	2	2	4	1	1
6	2	2	4	1	2
30	2	2	4	1	4
3	2	2	4	2	16
1	2	2	4	2	1
220	2	2	4	2	2
3	2	2	4	2	4
1	2	2	4	3	2
20	2	2	4	4	2
15	2	2	4	4	4
6	2	3	1	1	16
5	2	3	1	1	2
1	2	3	1	1	3
4	2	3	1	1	4
1	2	3	1	3	2
4	2	3	1	4	2
9	2	3	2	2	2
1	2	3	2	2	3
2	2	3	4	2	2
1	2	3	4	3	4
1	2	3	4	4	2
1	2	3	4	4	4
1	2	4	1	2	2
1	2	4	1	4	1
3	2	4	1	4	2
1	2	4	2	16	2
2	2	4	2	2	16
1	2	4	2	2	1
149	2	4	2	2	2
4	2	4	2	2	4
4	2	4	2	4	2
1	2	4	3	1	4
2	2	4	3	4	3
1	2	4	4	1	2
4	2	4	4	2	16
209	2	4	4	2	2
5	2	4	4	2	4
2	2	4	4	4	1
43	2	4	4	4	2
1	2	4	4	4	3
53	2	4	4	4	4
2	3	16	16	16	2
1	3	16	16	4	4
2	3	16	2	2	2
2	3	16	4	2	2
1	3	16	4	2	4
5	3	16	4	4	2
1	3	16	4	4	4
1	3	1	1	2	2
1	3	1	2	2	2
1	3	1	4	1	1
1	3	1	4	4	4
1	3	2	16	2	16
1	3	2	1	1	4
23	3	2	2	2	2
1	3	2	4	2	2
2	3	2	4	4	2
1	3	3	2	2	2
1	3	4	2	2	2
1	3	4	2	2	4
1	3	4	2	4	4
1	3	4	3	1	4
15	3	4	4	2	2
3	3	4	4	4	2
37	4	16	16	16	16
1	4	16	16	16	1
323	4	16	16	16	2
153	4	16	16	16	4
1	4	16	16	1	2
6	4	16	16	2	16
126	4	16	16	2	2
1	4	16	16	2	4
1	4	16	16	4	1
425	4	16	16	4	2
6	4	16	16	4	3
626	4	16	16	4	4
18	4	16	2	16	2
4	4	16	2	2	16
173	4	16	2	2	2
2	4	16	2	2	4
1	4	16	2	4	1
40	4	16	4	2	16
4	4	16	4	2	1
1376	4	16	4	2	2
5	4	16	4	2	3
34	4	16	4	2	4
6	4	16	4	4	1
459	4	16	4	4	2
9	4	16	4	4	3
366	4	16	4	4	4
2	4	1	16	16	2
1	4	1	16	16	4
2	4	1	16	2	2
5	4	1	16	4	2
6	4	1	16	4	4
1	4	1	1	2	1
2	4	1	1	4	2
1	4	1	2	16	2
7	4	1	2	2	2
5	4	1	4	2	2
10	4	1	4	4	2
14	4	1	4	4	4
1	4	2	16	16	16
17	4	2	16	16	2
3	4	2	16	16	4
1	4	2	16	1	4
1	4	2	16	2	16
60	4	2	16	2	2
1	4	2	16	3	16
8	4	2	16	4	2
3	4	2	16	4	4
1	4	2	1	1	4
3	4	2	2	16	16
10	4	2	2	16	2
8	4	2	2	2	16
3	4	2	2	2	1
652	4	2	2	2	2
1	4	2	2	2	3
13	4	2	2	2	4
1	4	2	2	3	16
1	4	2	2	4	1
9	4	2	2	4	2
1	4	2	2	4	4
1	4	2	3	2	2
12	4	2	4	2	16
1	4	2	4	2	1
559	4	2	4	2	2
2	4	2	4	2	3
8	4	2	4	2	4
