9	16	16	16
17	16	16	2
1	16	16	4
1	16	1	16
1	16	1	2
4	16	2	16
2	16	2	1
243	16	2	2
5	16	2	4
2	16	3	2
5	16	4	16
1	16	4	1
333	16	4	2
1	16	4	3
26	16	4	4
1	1	2	1
14	1	2	2
18	1	4	2
50	2	16	16
2	2	16	1
222	2	16	2
6	2	16	4
2	2	1	16
12	2	1	1
26	2	1	2
1	2	1	3
5	2	1	4
57	2	2	16
10	2	2	1
11866	2	2	2
12	2	2	3
144	2	2	4
2	2	3	1
25	2	3	2
3	2	3	3
2	2	3	4
22	2	4	16
5	2	4	1
1961	2	4	2
6	2	4	3
153	2	4	4
4	3	16	16
2	3	16	2
2	3	1	2
1	3	1	3
1	3	1	4
40	3	2	2
1	3	3	2
5	3	4	16
144	3	4	2
23	3	4	4
204	4	16	16
1	4	16	1
321	4	16	2
36	4	16	4
6	4	1	1
58	4	1	2
1	4	1	3
6	4	1	4
37	4	2	16
38	4	2	1
695	4	2	2
16	4	2	3
69	4	2	4
20	4	3	2
1	4	3	3
7	4	3	4
170	4	4	16
39	4	4	1
15861	4	4	2
6	4	4	3
1172	4	4	4
